Date,Home_Team,Score,Away_Team
14-08-2023,Alaves,1 - 3,Barcelona
14-08-2023,Barcelona,3 - 3,Granada
14-08-2023,Celta,1 - 2,Barcelona
14-08-2023,Barcelona,4 - 0,Getafe
14-08-2023,Ath Bilbao,0 - 0,Barcelona
14-08-2023,Barcelona,1 - 0,Mallorca
14-08-2023,Ath Madrid,0 - 3,Barcelona
14-08-2023,Barcelona,1 - 0,Las Palmas
14-08-2023,Cadiz,0 - 1,Barcelona
14-08-2023,Real Madrid,3 - 2,Barcelona
14-08-2023,Barcelona,4 - 2,Valencia
14-08-2023,Girona,4 - 2,Barcelona
14-08-2023,Barcelona,2 - 0,Sociedad
14-08-2023,Almeria,0 - 2,Barcelona
14-08-2023,Barcelona,3 - 0,Vallecano
14-08-2023,Sevilla,? - ?,Barcelona
14-08-2023,Villarreal,1 - 2,Betis
14-08-2023,Betis,0 - 0,Ath Madrid
14-08-2023,Ath Bilbao,4 - 2,Betis
14-08-2023,Betis,1 - 0,Vallecano
14-08-2023,Barcelona,5 - 0,Betis
14-08-2023,Betis,1 - 1,Cadiz
14-08-2023,Granada,1 - 1,Betis
14-08-2023,Betis,3 - 0,Valencia
14-08-2023,Alaves,1 - 1,Betis
14-08-2023,Getafe,1 - 1,Betis
14-08-2023,Betis,2 - 1,Osasuna
14-08-2023,Betis,2 - 0,Mallorca
14-08-2023,Sevilla,1 - 1,Betis
14-08-2023,Betis,1 - 0,Las Palmas
14-08-2023,Almeria,0 - 0,Betis
14-08-2023,Betis,1 - 1,Real Madrid
14-08-2023,Sociedad,0 - 0,Betis
14-08-2023,Betis,1 - 1,Girona
14-08-2023,Celta,2 - 1,Betis
14-08-2023,Betis,1 - 0,Granada
14-08-2023,Betis,2 - 4,Barcelona
14-08-2023,Mallorca,0 - 1,Betis
14-08-2023,Betis,1 - 1,Getafe
14-08-2023,Cadiz,0 - 2,Betis
14-08-2023,Betis,0 - 0,Alaves
14-08-2023,Betis,3 - 1,Ath Bilbao
14-08-2023,Ath Madrid,2 - 1,Betis
14-08-2023,Betis,2 - 3,Villarreal
14-08-2023,Vallecano,2 - 0,Betis
14-08-2023,Girona,3 - 2,Betis
14-08-2023,Betis,2 - 1,Celta
14-08-2023,Valencia,1 - 2,Betis
14-08-2023,Betis,1 - 1,Sevilla
14-08-2023,Osasuna,0 - 2,Betis
14-08-2023,Betis,3 - 2,Almeria
14-08-2023,Las Palmas,2 - 2,Betis
14-08-2023,Betis,0 - 2,Sociedad
14-08-2023,Real Madrid,? - ?,Betis
14-08-2023,Cadiz,1 - 0,Alaves
14-08-2023,Barcelona,2 - 0,Cadiz
14-08-2023,Cadiz,1 - 1,Almeria
14-08-2023,Cadiz,3 - 1,Villarreal
14-08-2023,Ath Bilbao,3 - 0,Cadiz
14-08-2023,Betis,1 - 1,Cadiz
14-08-2023,Cadiz,0 - 0,Vallecano
14-08-2023,Ath Madrid,3 - 2,Cadiz
14-08-2023,Cadiz,0 - 1,Girona
14-08-2023,Valencia,2 - 0,Cadiz
14-08-2023,Cadiz,2 - 2,Sevilla
14-08-2023,Getafe,1 - 0,Cadiz
14-08-2023,Cadiz,0 - 3,Real Madrid
14-08-2023,Mallorca,1 - 1,Cadiz
14-08-2023,Celta,1 - 1,Cadiz
14-08-2023,Cadiz,1 - 1,Osasuna
14-08-2023,Las Palmas,1 - 1,Cadiz
14-08-2023,Cadiz,0 - 0,Sociedad
14-08-2023,Granada,2 - 0,Cadiz
14-08-2023,Cadiz,1 - 4,Valencia
14-08-2023,Alaves,1 - 0,Cadiz
14-08-2023,Cadiz,0 - 0,Ath Bilbao
14-08-2023,Villarreal,0 - 0,Cadiz
14-08-2023,Cadiz,0 - 2,Betis
14-08-2023,Osasuna,2 - 0,Cadiz
14-08-2023,Cadiz,2 - 2,Celta
14-08-2023,Vallecano,1 - 1,Cadiz
14-08-2023,Cadiz,2 - 0,Ath Madrid
14-08-2023,Sociedad,2 - 0,Cadiz
14-08-2023,Cadiz,1 - 0,Granada
14-08-2023,Cadiz,0 - 1,Barcelona
14-08-2023,Girona,4 - 1,Cadiz
14-08-2023,Cadiz,1 - 1,Mallorca
14-08-2023,Real Madrid,3 - 0,Cadiz
14-08-2023,Cadiz,1 - 0,Getafe
14-08-2023,Sevilla,0 - 1,Cadiz
14-08-2023,Cadiz,0 - 0,Las Palmas
14-08-2023,Almeria,? - ?,Cadiz
14-08-2023,Celta,0 - 2,Osasuna
14-08-2023,Sociedad,1 - 1,Celta
14-08-2023,Celta,0 - 1,Real Madrid
14-08-2023,Almeria,2 - 3,Celta
14-08-2023,Celta,0 - 1,Mallorca
14-08-2023,Barcelona,3 - 2,Celta
14-08-2023,Celta,1 - 1,Alaves
14-08-2023,Las Palmas,2 - 1,Celta
14-08-2023,Celta,2 - 2,Getafe
14-08-2023,Celta,0 - 3,Ath Madrid
14-08-2023,Girona,1 - 0,Celta
14-08-2023,Celta,1 - 1,Sevilla
14-08-2023,Ath Bilbao,4 - 3,Celta
14-08-2023,Valencia,0 - 0,Celta
14-08-2023,Celta,1 - 1,Cadiz
14-08-2023,Vallecano,0 - 0,Celta
14-08-2023,Celta,1 - 0,Granada
14-08-2023,Villarreal,3 - 2,Celta
14-08-2023,Celta,2 - 1,Betis
14-08-2023,Mallorca,1 - 1,Celta
14-08-2023,Celta,0 - 1,Sociedad
14-08-2023,Celta,0 - 1,Girona
14-08-2023,Osasuna,0 - 3,Celta
14-08-2023,Getafe,3 - 2,Celta
14-08-2023,Celta,1 - 2,Barcelona
14-08-2023,Cadiz,2 - 2,Celta
14-08-2023,Celta,1 - 0,Almeria
14-08-2023,Real Madrid,4 - 0,Celta
14-08-2023,Sevilla,1 - 2,Celta
14-08-2023,Celta,0 - 0,Vallecano
14-08-2023,Betis,2 - 1,Celta
14-08-2023,Celta,4 - 1,Las Palmas
14-08-2023,Alaves,3 - 0,Celta
14-08-2023,Celta,3 - 2,Villarreal
14-08-2023,Ath Madrid,1 - 0,Celta
14-08-2023,Celta,2 - 1,Ath Bilbao
14-08-2023,Granada,1 - 2,Celta
14-08-2023,Celta,? - ?,Valencia
14-08-2023,Getafe,0 - 0,Barcelona
14-08-2023,Girona,3 - 0,Getafe
14-08-2023,Getafe,1 - 0,Alaves
14-08-2023,Real Madrid,2 - 1,Getafe
14-08-2023,Getafe,3 - 2,Osasuna
14-08-2023,Sociedad,4 - 3,Getafe
14-08-2023,Ath Bilbao,2 - 2,Getafe
14-08-2023,Getafe,0 - 0,Villarreal
