Date,Home_Team,Score,Away_Team
12-08-2023,Crystal Palace,3 - 0,Burnley
12-08-2023,Burnley,0 - 2,Bournemouth
12-08-2023,West Ham,2 - 2,Burnley
12-08-2023,Burnley,2 - 1,Brentford
12-08-2023,Chelsea,2 - 2,Burnley
12-08-2023,Burnley,1 - 1,Wolves
12-08-2023,Everton,1 - 0,Burnley
12-08-2023,Burnley,1 - 1,Brighton
12-08-2023,Sheffield United,1 - 4,Burnley
12-08-2023,Man United,1 - 1,Burnley
12-08-2023,Burnley,1 - 4,Newcastle
12-08-2023,Tottenham,2 - 1,Burnley
12-08-2023,Burnley,1 - 2,Nott'm Forest
12-08-2023,Chelsea,1 - 1,Liverpool
12-08-2023,West Ham,3 - 1,Chelsea
12-08-2023,Chelsea,3 - 0,Luton
12-08-2023,Chelsea,0 - 1,Nott'm Forest
12-08-2023,Bournemouth,0 - 0,Chelsea
12-08-2023,Chelsea,0 - 1,Aston Villa
12-08-2023,Fulham,0 - 2,Chelsea
12-08-2023,Burnley,1 - 4,Chelsea
12-08-2023,Chelsea,2 - 2,Arsenal
12-08-2023,Chelsea,0 - 2,Brentford
12-08-2023,Tottenham,1 - 4,Chelsea
12-08-2023,Chelsea,4 - 4,Man City
12-08-2023,Newcastle,4 - 1,Chelsea
12-08-2023,Chelsea,3 - 2,Brighton
12-08-2023,Man United,2 - 1,Chelsea
12-08-2023,Everton,2 - 0,Chelsea
12-08-2023,Chelsea,2 - 0,Sheffield United
12-08-2023,Wolves,2 - 1,Chelsea
12-08-2023,Chelsea,2 - 1,Crystal Palace
12-08-2023,Luton,2 - 3,Chelsea
12-08-2023,Chelsea,1 - 0,Fulham
12-08-2023,Liverpool,4 - 1,Chelsea
12-08-2023,Chelsea,2 - 4,Wolves
12-08-2023,Crystal Palace,1 - 3,Chelsea
12-08-2023,Man City,1 - 1,Chelsea
12-08-2023,Brentford,2 - 2,Chelsea
12-08-2023,Chelsea,3 - 2,Newcastle
12-08-2023,Chelsea,2 - 2,Burnley
12-08-2023,Chelsea,4 - 3,Man United
12-08-2023,Sheffield United,2 - 2,Chelsea
12-08-2023,Chelsea,6 - 0,Everton
12-08-2023,Arsenal,5 - 0,Chelsea
12-08-2023,Aston Villa,2 - 2,Chelsea
12-08-2023,Chelsea,2 - 0,Tottenham
12-08-2023,Chelsea,5 - 0,West Ham
12-08-2023,Nott'm Forest,2 - 3,Chelsea
12-08-2023,Brighton,1 - 2,Chelsea
12-08-2023,Chelsea,2 - 1,Bournemouth
12-08-2023,Sheffield United,0 - 1,Crystal Palace
12-08-2023,Crystal Palace,0 - 1,Arsenal
12-08-2023,Brentford,1 - 1,Crystal Palace
12-08-2023,Crystal Palace,3 - 2,Wolves
12-08-2023,Aston Villa,3 - 1,Crystal Palace
12-08-2023,Crystal Palace,0 - 0,Fulham
12-08-2023,Man United,0 - 1,Crystal Palace
12-08-2023,Crystal Palace,0 - 0,Nott'm Forest
12-08-2023,Newcastle,4 - 0,Crystal Palace
12-08-2023,Crystal Palace,1 - 2,Tottenham
12-08-2023,Burnley,0 - 2,Crystal Palace
12-08-2023,Crystal Palace,2 - 3,Everton
12-08-2023,Luton,2 - 1,Crystal Palace
12-08-2023,West Ham,1 - 1,Crystal Palace
12-08-2023,Crystal Palace,0 - 2,Bournemouth
12-08-2023,Crystal Palace,1 - 2,Liverpool
12-08-2023,Man City,2 - 2,Crystal Palace
12-08-2023,Crystal Palace,1 - 1,Brighton
12-08-2023,Chelsea,2 - 1,Crystal Palace
12-08-2023,Crystal Palace,3 - 1,Brentford
12-08-2023,Arsenal,5 - 0,Crystal Palace
12-08-2023,Crystal Palace,3 - 2,Sheffield United
12-08-2023,Brighton,4 - 1,Crystal Palace
12-08-2023,Crystal Palace,1 - 3,Chelsea
12-08-2023,Everton,1 - 1,Crystal Palace
12-08-2023,Crystal Palace,3 - 0,Burnley
12-08-2023,Tottenham,3 - 1,Crystal Palace
12-08-2023,Crystal Palace,1 - 1,Luton
12-08-2023,Nott'm Forest,1 - 1,Crystal Palace
12-08-2023,Bournemouth,1 - 0,Crystal Palace
12-08-2023,Crystal Palace,2 - 4,Man City
12-08-2023,Liverpool,0 - 1,Crystal Palace
12-08-2023,Crystal Palace,5 - 2,West Ham
12-08-2023,Crystal Palace,2 - 0,Newcastle
12-08-2023,Fulham,1 - 1,Crystal Palace
12-08-2023,Crystal Palace,4 - 0,Man United
12-08-2023,Wolves,1 - 3,Crystal Palace
12-08-2023,Crystal Palace,5 - 0,Aston Villa
12-08-2023,Everton,0 - 1,Fulham
12-08-2023,Aston Villa,4 - 0,Everton
12-08-2023,Everton,0 - 1,Wolves
12-08-2023,Sheffield United,2 - 2,Everton
12-08-2023,Everton,0 - 1,Arsenal
12-08-2023,Brentford,1 - 3,Everton
12-08-2023,Everton,1 - 2,Luton
12-08-2023,Everton,3 - 0,Bournemouth
